Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Anarin	MEDM	medm_anarin.jpg	Character	Agent	Noldo Elf	Minion	Uncommon	"Unique. Agent. Agent only: may move to a Haven [H] and may tap at a company's new site to attack that company during opponent's movement/hazard phase.  ""...out of the thicket of young trees an Elf stepped, clad in grey, but with his hood thrown back; his hair glinted like gold in the morning sun.""-LotRII  Home Site: Moria "	2	-	Scout Diplomat	7.0	3.0	-	4.0	8.0	-	Moria 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0
Baduila	MEDM	medm_baduila.jpg	Character	Agent	Man	Minion	Rare	"Unique. Agent. Agent only: if Baduila is discarded at target company's new site, company must return to its site of origin.  ""They are valiant men and keep open the High Pass and the Ford of Carrock. But their tolls are high...and they are not overfond of dwarves.""-LotRII  Home Site: Goblin-gate, Mount Gundabad  "	3	-	Warrior Scout Ranger	8.0	2.0	-	6.0	8.0	-	Goblin-gate, Mount Gundabad  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Bill Ferny	MEDM	medm_billferny.jpg	Character	Agent	Man	Minion	Common	"Unique. Agent.  ""'...as for Ferny, he would sell anything to anybody; or make mischief for amusement.'""-LotRI  Home Site: Bree, Cameth Brin  "	1	-	Warrior Scout	3.0	1.0	-	2.0	8.0	-	Bree, Cameth Brin  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Dasakun	MEDM	medm_dasakun.jpg	Character	Agent	Man	Minion	Uncommon	"Unique. Agent.  ""...a fierce people...wholly under the shadow of Dol Guldur...""-LotR  Home Site: Easterling Camp, Variag Camp, Shrel-Kain  "	2	-	Warrior Ranger	5.0	1.0	-	6.0	7.0	-	Easterling Camp, Variag Camp, Shrel-Kain  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Deallus	MEDM	medm_deallus.jpg	Character	Agent	Man	Minion	Common	"Unique. Agent.  ""Red-haired and gifted with a marvelous tongue, Deallus of Dunfearan was the embodiment of the high hills' soft beauty and strong, deep spirit.""-Kuduk Lore  Home Site: Dunnish Clan-hold, Bree, Cameth Brin  "	1	-	Warrior Diplomat	3.0	1.0	-	2.0	7.0	-	Dunnish Clan-hold, Bree, Cameth Brin  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Dror	MEDM	medm_dror.jpg	Character	Agent	Longbeard Dwarf	Minion	Common	"Unique. Agent. +2 direct influence against Dwarves and Dwarf factions.  ""Ever low he sat, always abiding by greed...oaths are broken, vows refused, or solemn agreements.""-Kuduk Lore  Home Site: Blue Mountain Dwarf-hold  "	1	-	Warrior Diplomat	4.0	2.0	-	3.0	7.0	-	Blue Mountain Dwarf-hold  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Elerina	MEDM	medm_elerina.jpg	Character	Agent	Man	Minion	Rare	"Unique. Agent. Can use shadow-magic and spirit-magic. Agent only: may tap for an extra strike.  ""When the kingdom ended the Dunedain passed into shadows and became a secret and wandering people, and their deeds and labours were seldom sung or recorded.""-LotR  Home Site: Carn Dum, Mount Gram  "	3	-	Scout Sage Diplomat Shadow-magic  Spirit-magic	8.0	3.0	-	5.0	9.0	-	Carn Dum, Mount Gram  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Elwen	MEDM	medm_elwen.jpg	Character	Agent	Nando Elf	Minion	Uncommon	"Unique. Agent. +2 direct influence against Elves and Elf factions. Agent only: may move to a Haven [H].  ""...Elves of this land were of a race strange to us of the silvan folk.""-LotRII  Home Site: Dol Amroth, Minas Tirith  "	2	-	Warrior Diplomat	5.0	2.0	-	4.0	8.0	-	Dol Amroth, Minas Tirith  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Eun	MEDM	medm_eun.jpg	Character	Agent	Man	Minion	Common	"Unique. Agent.  ""Few knew the ancient paths and secrets of the White Mountains like Eun of Erech, a fair lass whose eyes reflected the fires hidden in the heart of the Black Stone of her home.""-Kuduk Lore  Home Site: Vale of Erech, Lond Galen  "	1	-	Warrior Scout	3.0	0.0	-	4.0	8.0	-	Vale of Erech, Lond Galen  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Firiel	MEDM	medm_firiel.jpg	Character	Agent	Dunadan	Minion	Rare	"Unique. Agent. Can use shadow-magic. +2 direct influence against Dunedain and factions that can be played in Anfalas, Anorien, Belfalas, Lamedon, and Lebennin.  ""She made many voyages to the South, sailing even in the most dangerous of times.""-Kuduk Lore  Home Site: Pelargir, Vale of Erech  "	2	-	Sage Diplomat Shadow-magic	6.0	3.0	-	3.0	8.0	-	Pelargir, Vale of Erech  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
