Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Aknazeh	MEBO	mebo_aknazeh.jpg	Character	character	Man	Minion	-	[MP: 1; Mind: 4; DI: 1; P/B: 2/8]---Sa/D---Man. Unique. Can use shadow-magic. +2 DI against the Sons of Sadeh faction. Wound Akhazek to let him use sorcery until the end of the turn (no body check required). Home site: Naerphys, Samarth.	1	-	Sage Diplomat Shadow-magic Sorcery	4.0	1.0	-	2.0	8.0	-	Naerphys, Samarth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Aransiros the Sublime	MEBO	mebo_aransirosthesublime.jpg	Character	character	Man	Minion	-	[MP: 2; Mind: 7; DI: 2; P/B: 6/8]---W/Sa---Man. Unique. Can use sorcery. +2 DI against the Muranians faction. If Aransiros controls a unique mind ring he becomes a War-lord.Home site: Naerphys.	2	-	Warrior Sage Sorcery	7.0	2.0	-	6.0	8.0	-	Naerphys	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ashmaar	MEBO	mebo_ashmaar.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 4; DI: 0; P/B: 5/8]---W---Man. Unique. +2 DI against characters and factions playable in Chy or its adjacent regions. -1 to his CP if not at or moving to a site in Bay of Ormal, the Great Central Plains or the Sun-lands.Home site: Pelepelplu, Samarth.	1	-	Warrior	4.0	0.0	-	5.0	8.0	-	Pelepelplu, Samarth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Bahadur	MEBO	mebo_bahadur.jpg	Character	character	Stiffbeard Dwarf	Hero	-	[MP: 1; Mind: 4; DI: 1; P/B: 3/8]---W/Sa---Dwarf. Unique. Stiffbeard. +1 prowess against Orcs, Trolls and Giants.     tap: and discard a (stored) Reforging from the company to make Dwarven Light-stone playable at his current Dwarf-hold until the end of the turn. Home Site: Azagarbhun, Isvat	1	-	Warrior Sage	4.0	1.0	-	3.0	8.0	-	Azagarbhun, Isvat	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dairuzor	MEBO	mebo_dairuzor.jpg	Character	character	Dunadan	Minion	-	[MP: 2; Mind: 5; DI: 1; P/B: 4/8]---W/Sc---Dunadan. Unique. +2 DI against The Khanim faction and The Dark Ordainers. +2 prowess in CvCC if choosing the target of his strike.Home site: Tarik an-Aruwanai.	2	-	Warrior Scout	5.0	1.0	-	4.0	8.0	-	Tarik an-Aruwanai	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Earmacil II	MEBO	mebo_earmacilii.jpg	Character	character	Dunadan	Hero	-	[MP: 3; Mind: 8; DI: 2; P/B: 5/9]---W/R/D---Dunadan. Unique. +2 DI against Dunedain. Unless you are a Dunadan-lord or start the game at a site in Bay of Ormal, he cannot be among the starting characters and may only be brought into play at his home sites.      Earmacil is considered a sage for the purpose of playing rituals. If controlling When You Know More he may tap to cancel a Dwarf, Elf, Man, Maia or Dunadan detainment attack.            Home site: Aelinost, Cirlond.	3	-	Warrior Ranger Diplomat	8.0	2.0	-	5.0	9.0	-	Aelinost, Cirlond	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gorshuk	MEBO	mebo_gorshuk.jpg	Character	character	Orc	Minion	-	[MP: 2; Mind: 5; DI: 1; P/B: 5/8]---W---Orc. Unique. Uruk-hai. Leader. Discard on a body check result of 8. +1 prowess against Orcs. +1 DI against Orcs. +2 DI against the Ogurk-bash faction.      You may play Orc-tortured on any strike Gorshuk faces in CvCC during your turn (before rolls are made; as if an Orc creature attack). Home site: Kala-Ogurk.	2	-	Warrior	5.0	1.0	-	5.0	8.0	-	Kala-Ogurk	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Kabadir	MEBO	mebo_kabadir.jpg	Character	character	Man	Minion	-	[MP: 2; Mind: 5; DI: 1; P/B: 4/7]---W/R---Man. Unique. If at or moving to a site in Chy, Harshandatt, Siakan or regions adjacent to these: +1 to his prowess and DI and he becomes a leader.Home site: Ankruz, Naerphys.	2	-	Warrior Ranger	5.0	1.0	-	4.0	7.0	-	Ankruz, Naerphys	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Kavatha	MEBO	mebo_kavatha.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 3; DI: 0; P/B: 4/7]---W---Man. Unique. +1 prowess if in a company with a hero character with a home site in Chy or its adjacent regions. Kavatha gains Scout skill if he controls a horse ally.Home site: Bulchyaden Marshes, Thraath.	1	-	Warrior	3.0	0.0	-	4.0	7.0	-	Bulchyaden Marshes, Thraath	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Khursh	MEBO	mebo_khursh.jpg	Character	character	Man	Dual	-	[MP: 1; Mind: 4; DI: 0; P/B: 4/8]---W/Sc---Man. Unique.  +2 DI against the Chyans faction.   tap heal a horse ally in his company (from wounded to tapped) if moving it a site in the Great Central Plains or its adjacent regions. Home Site: Thraath, Samarth	1	-	Warrior Scout	4.0	0.0	-	4.0	8.0	-	Thraath, Samarth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
