Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Brand	METD	metd_brand.jpg	Character	character	Man	Hero	Uncommon	2	-	Warrior Diplomat	6.0	2.0	-	4.0	9.0	-	Dale 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against Men of Dale Faction.  ""'The grandson of Bard the Bowman rules them, Brand son of Bain son of Bard. He is a strong king, and his realm now reaches far south and east of Esgaroth.'""-LotRII  Home Site: Dale "
Fram Framson	METD	metd_framframson.jpg	Character	character	Man	Hero	Rare	2	-	Warrior Ranger	5.0	0.0	-	6.0	8.0	-	Framsburg 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. He may not be one of the starting characters. He may only be brought into play at his home site. +3 prowess against Dragon and Drake attacks.  ""Of Fram Framson's ancestor...the tales recount that he slew Scatha the Worm and fashioned a necklace from the dragon's teeth..."" -Kuduk Lore  Home Site: Framsburg "
Galdor	METD	metd_galdor.jpg	Character	character	Sinda Elf	Hero	Uncommon	2	-	Ranger Diplomat	5.0	2.0	-	2.0	9.0	-	Grey Havens 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +1 direct influence against Elves and Elf factions.  ""...Galdor, an Elf from the Grey Havens who had come on an errand from Cirdan the Shipwright."" -LotRII  Home Site: Grey Havens "
Ioreth	METD	metd_ioreth.jpg	Character	character	Dunadan	Hero	Uncommon	-	-	Sage	1.0	1.0	-	0.0	7.0	-	Minas Tirith 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	0.0	"Unique. Healing effects affect all characters in her company.  ""...an old wife, Ioreth, the eldest of the women who served in that house..."" -LotRV  Home Site: Minas Tirith "
Thrain II	METD	metd_thrainii.jpg	Character	character	Longbeard Dwarf	Hero	Rare	3	-	Warrior Ranger Sage	9.0	2.0	-	7.0	8.0	-	None 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +3 direct influence against Dwarves and Dwarf factions.  ""'...there we were unexpectedly joined by my father and my grandfather with singed beards. They looked very grim but they said very little.'"" -Hob  Home Site: None "
Agburanar Ahunt	METD	metd_agburanarahunt.jpg	Hazard	Long-event	Dragon Cold-dragon	Neutral	Uncommon	4	-	Wyrm	-	-	-	13.0	88.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-3 strikes at 13/8. If Doors of Night is in play, this attack also affects: Southern Rhovanion, Dorwinion, Heart of Mirkwood, and Woodland Realm. 
Agburanar at Home	METD	metd_agburanarathome.jpg	Hazard	Permanent-event	Dragon Cold-dragon	Neutral	Rare	4	-	Wyrm	-	-	-	16.0	9.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Unique. Unless Agburanar Ahunt is in play, Caves of Ulund has an additional automatic-attack: Dragon-2 strikes at 16/9. In addition, one unique Dragon manifestation played against each company does not count against the hazard limit.  ""Slow and silent he crept back to his lair and half closed his eyes.""-Hob "
Bairanax	METD	metd_bairanax.jpg	Hazard	Creature	Dragon Cold-dragon	Neutral	Rare	3	-	Winged	-	-	-	14.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1.0	-	0.0	"Unique. May be played at Ovir Hollow. Dragon. Two strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be keyed to  Withered Heath, Gundabad, Anduin Vales, and Grey Mountain Narrows; may also be played at sites in those regions.  ""Thousands of bear bones adorn the cold-drake's chambers...""-Kuduk Lore "
Bairanax Ahunt	METD	metd_bairanaxahunt.jpg	Hazard	Long-event	Dragon Cold-dragon	Neutral	Uncommon	3	-	Winged	-	-	-	12.0	6.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	Unique. Any company moving in Withered Heath, Gundabad, Anduin Vales, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-3 strikes at 12/6 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Northern Rhovanion, Iron Hills, Southern Rhovanion, and Angmar. 
Bairanax at Home	METD	metd_bairanaxathome.jpg	Hazard	Permanent-event	Dragon Cold-dragon	Neutral	Rare	3	-	Winged	-	-	-	15.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Unique. Unless Bairanax Ahunt is in play, Ovir Hollow has an additional automatic-attack: Dragon-2 strikes at 15/7. In addition, the hazard limit against any company facing one or more animal hazard creature attacks is increased by one.  ""'Well, thief! I smell you and I feel your air. I hear your breath...'"" -Hob "
Black Breath	METD	metd_blackbreath.jpg	Hazard	Permanent-event	Corruption Disease	Neutral	Rare	-	-	Nazgul	-	-	-	-	-	3.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	Corruption. Place with any wounded character in a company that just faced a Nazgul attack; the character receives 3 corruption points. Target character makes a body check during each of his organization phases. Whenever target character would normally heal, he instead makes a roll (or draws a #); if this result is greater than 10, he heals normally and this card is removed. This roll is modified by +2 if the character is at a Haven [H] and by +2 for each sage in his company that taps in support. 
Carrion Birds	METD	metd_carrionbirds.jpg	Hazard	Creature	Animal	Neutral	Common	1	-	-	-	-	-	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	"May be played keyed to wilderness after any Orc, Troll, or Man attack keyed to wilderness and against the same company. Animals. Each character in the company faces one strike. Any character wounded by Carrion Birds makes two body checks instead of one, both checks modified by -1.  ""...and far of there are many carrion birds as if a battle were afoot!""-Hob "
Cave Worm	METD	metd_caveworm.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	16.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	-	0.0	"Drake. One strike. May be played keyed to Redhorn Gate, High Pass, Gap of Isen, Angmar, Gundabad, Grey Mountain Narrows, Withered Heath, Numeriador, and Iron Hills.  ""...there are other things more slimy than fish.""-Hob "
Cruel Caradhras	METD	metd_cruelcaradhras.jpg	Hazard	Short-event	-	Neutral	Uncommon	-	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	1.0	0.0	Playable on a company using region movement to move through one of the following regions (and not stopping at a site therein): High Pass, Redhorn Gate, Angmar, Gundabad, Grey Mountain Narrows, or Imlad Morgul. Each character in target company must face one strike (not an attack) of 8 prowess which cannot be canceled. Any resulting body check is modified by +1. 
