Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Bertok	MEBU	mebu_bertok.jpg	Character	character	Man	Minion	-	"[MP: 2; Mind: 5; DI: 1; P/B: 5/8]---W/Sc---Man--Unique. If Skis and Fur-coats is played on his company, Bertok gains the ranger skill and he may tap to remove the effects of ""attacker chooses defending characters"" for an attack keyed to a region in the Northern Waste. Home site: Lothragh Camp, Urdic Camp."	2	-	Warrior Scout	5.0	1.0	-	5.0	8.0	-	Lothragh Camp, Urdic Camp	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ologong	MEBU	mebu_ologong.jpg	Character	character	Olog-hai Troll	Minion	-	[MP: 3; Mind: 9; DI: 0; P/B: 7/9]---W/R/D---Troll--Unique. Olog-hai. Leader. Discard on a body check result of 9. +5 DI against Orcs and Trolls. When he is at Shapal Udun you may keep one more card than normal in your hand. May only be brought into play at his home site; if in your starting company, you must start the game at his home site. Home site: Shapol Udun.	3	-	Warrior Ranger Diplomat	9.0	0.0	-	7.0	9.0	-	Shapol Udun	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ulvun	MEBU	mebu_ulvun.jpg	Character	character	Man	Hero	-	[MP: 2; Mind: 5; DI: 1; P/B: 5/8]---W/R---Man--Unique. Home Site: Yjuvit, Olyvaud.	2	-	Warrior Ranger	5.0	1.0	-	5.0	8.0	-	Yjuvit, Olyvaud	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Unor	MEBU	mebu_unor.jpg	Character	Agent	Umit	Dual	-	[MP: 1; Mind: 3; DI: 1; P/B: 3/7]---W/D---Umit. Unique. Agent. Grey agent. +2 DI against Umli, +1 prowess when at or moving to a site in The Northern Waste. May not be brought into play at a site where an opponent has a faction in play. Agent only: +1 prowess against Drakes, Dragons, and Elves.Home site: Hyvat Kalat, any Umit-hold.	1	-	Warrior Diplomat	3.0	1.0	-	3.0	7.0	-	Hyvat Kalat, any Umit-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gostir	MEBU	mebu_gostir.jpg	Hazard	Creature	Dragon Cold-dragon	Neutral	-	[MP: 4; P/B: 14/8] Unique. Cold-dragon. Winged. May be played at Hollow Spire. 3 strikes. If Doors of Night is in play, may also be played keyed to Azjan, Barl Syrnac, Lhugdalf and Ukal Sej.	4	-	Winged	-	-	-	14.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	1.0
Gostir Ahunt	MEBU	mebu_gostirahunt.jpg	Hazard	Long-event	Dragon Cold-dragon	Neutral	-	[MP: 4; P/B: 12/7] Unique. Any company moving in Azjan, Barl Syrnac, Lhugdalf, Mur Fostisyr and Ukal Sej  immediately faces a Cold-dragon attack (considered a hazard creature attack) -- 4 strikes at 12/7.If Doors of Night is in play, this attack also affects: Dyr, Forrhun and Talath Oiohelka	4	hunt	Winged	-	-	-	12.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gostir at Home	MEBU	mebu_gostirathome.jpg	Hazard	Permanent-event	Dragon Cold-dragon	Neutral	-	[MP: 4; P/B: 15/8] Unique. Unless Gostir Ahunt is in play Hollow Spire has an additional automatic-attack: Cold-dragon -- 3 strikes at 15/8.     In addition, all hazard creatures with Ice or Cold in their title have their prowess and body modified by +1; all such creatures with no body have 4 body.	4	-	Winged	-	-	-	15.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Lassaraukar	MEBU	mebu_lassaraukar.jpg	Hazard	Creature	Demons	Neutral	-	[MP: 2, P/B: 10/8] Demon. {W-W-W-W} Demon. 2 strikes. Attacker chooses defending characters. May also be played keyed to Dyr, Lotan, Mur Fostisyr; and may also be played at Ruins & Lairs [R] and Shadow-holds [S] in these regions. All subsequent attacks by Lassaraukar against this company this turn receive +2 prowess and do not count against the hazard limit	2	-	-	-	-	-	10.0	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	1.0
The Iron Troll	MEBU	mebu_theirontroll.jpg	Hazard	Creature	Troll	Neutral	-	[MP: 3; P/B: 16/7] Unique. Troll. {Playable: Dark-domains and Dark-holds} 1 strike. Manifestation of Ologong. May be played keyed to Shapol Udun and Azjan. May also be played keyed to any Under-deep Shadow-hold [S].	3	-	-	-	-	-	16.0	7.0	-	-	unique	-	D	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	1.0
Azjan	MEBU	mebu_azjan.jpg	Region	-	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	unique	Shadow-land	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Barl Syrnac	MEBU	mebu_barlsyrnac.jpg	Region	-	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	unique	Wilderness	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dyr	MEBU	mebu_dyr.jpg	Region	-	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	unique	Border-land	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
