Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Angbor	MEWR	mewr_angbor.jpg	Character	character	Dunadan	Hero	-	[MP: 2; Mind: 5; DI: 2; P/B: 5/7]---W/D---Dunadan. Unique. +1 DI against Men and Dunedain playable at sites in Gondor.Home site: Calembel.	2	-	Warrior Diplomat	5.0	2.0	-	5.0	7.0	-	Calembel	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Argirion	MEWR	mewr_argirion.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 4; DI: 1; P/B: 5/7]---W---Dunadan. Unique. +1 prowess against Men. If Argirion becomes a leader: +1 to his prowess, body, mind and DI. Home site: Linhir.	1	-	Warrior	4.0	1.0	-	5.0	7.0	-	Linhir	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Atani AL	MEWR	mewr_atanial.jpg	Character	Avatar	-	Atani-lord	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Derufin	MEWR	mewr_derufin.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 0; P/B: 3/7]---R---Dunadan. Unique. If in the same company as Duilin he requires only 2 influence to control. Home site: Vale of Erech.	1	-	Ranger	3.0	0.0	-	3.0	7.0	-	Vale of Erech	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dervorin	MEWR	mewr_dervorin.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 4; DI: 1; P/B: 4/7]---W/D---Dunadan. Unique. +1 DI against Dunadan.   Home site: Calembel.	1	-	Warrior Diplomat	4.0	1.0	-	4.0	7.0	-	Calembel	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Duilin	MEWR	mewr_duilin.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 0; P/B: 3/7]---Sc---Dunadan. Unique. If in the same company as Derufin he requires only 2 influence to control. Home site: Vale of Erech.	1	-	Scout	3.0	0.0	-	3.0	7.0	-	Vale of Erech	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Duinhir	MEWR	mewr_duinhir.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 4; DI: 1; P/B: 4/6]---W---Dunadan. Unique. +2 DI against Men of Lamedon faction.  +2 DI against characters with Vale of Erech as their home site. Home site: Vale of Erech.	1	-	Warrior	4.0	1.0	-	4.0	6.0	-	Vale of Erech	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dunadan Mariner	MEWR	mewr_dunadanmariner.jpg	Character	character	Dunadan	Dual	-	[MP: 1; Mind: 3; DI: 0; P/B: 3/7]---R---Dunadan. +1 prowess when at or moving to a Port or site in a Coastal Sea [c] region. tap: allow his company to use Port-movement. Discard a Great Ship or Black Sails (for no effect) during the organization phase to allow his company to move 3 extra regions, if moving with Port-movement or to a site in a Coastal Sea region. Home site: Dunadan-hold Port.	1	-	Ranger	3.0	0.0	-	3.0	7.0	-	Dunadan-hold Port	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Elessar	MEWR	mewr_elessar.jpg	Character	Avatar	Dunadan-lord Lord	Atani-lord	-	[Avatar GI: 20; Mind: 11; DI: 3; P/B: 7/9]---W/Sc/R/D---Dunadan-lord. Unique. Leader. Manifestation of Aragorn II. +4 DI against Dunedain and Elves. May play Return of the King and Army of the Dead (as if Aragorn II). May tap to use a Palantir he bears. When Elessar enters play, you may take either Kingsfoil, Return of the King or Army of the Dead from your sideboard to your hand.Home site: Annuminas, Minas Tirith.	-	-	Warrior Scout Ranger Diplomat	11.0	-	20.0	7.0	9.0	-	Annuminas, Minas Tirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Golasgil	MEWR	mewr_golasgil.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 4; DI: 2; P/B: 4/7]---Sc/R---Man. Unique. +2 DI against the Men of Anfalas faction. Home site: Lond Galen.	1	-	Scout Ranger	4.0	2.0	-	4.0	7.0	-	Lond Galen	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Halbarad of the North	MEWR	mewr_halbaradofthenorth.jpg	Character	character	Dunadan	Hero	-	[MP: 2; Mind: 6; DI: 1; P/B: 5/7]---R/Sa/D---Dunadan. Unique. Manifestation of Halbarad. +2 DI against Dunedain. +2DI against factions playable at his home sites. Home site: any Border-hold in Eriador.	2	-	Ranger Sage Diplomat	6.0	1.0	-	5.0	7.0	-	any Border-hold in Eriador	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Hirgon	MEWR	mewr_hirgon.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 3/7]---Sc/D---Dunadan. Unique. +2 DI against Man and Dunadan factions. If Hirgon is the only character in the company, add +2 to any of his influence attempts. Home site: Minas Tirith.	1	-	Scout Diplomat	3.0	1.0	-	3.0	7.0	-	Minas Tirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Hirluin the Fair	MEWR	mewr_hirluinthefair.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 2/9]---W/Sc---Dunadan. Unique. May use Black Arrow as if he were a Man character. Home site: Lond Galen.	1	-	Warrior Scout	3.0	1.0	-	2.0	9.0	-	Lond Galen	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Hurin the Tall	MEWR	mewr_hurinthetall.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 4; DI: 1; P/B: 4/7]---W/Sa---Dunadan. Unique. +1 DI against characters and factions playable at Minas Tirith.     Atani-lord only: if Captains of the West is in play and Fallen-Saruman is not, you may play Keys of Orthanc and The Fortress of Isen (as if a Fallen-wizard).  Home site: Minas Tirith.	1	-	Warrior Sage	4.0	1.0	-	4.0	7.0	-	Minas Tirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ingold	MEWR	mewr_ingold.jpg	Character	character	Dunadan	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/8]---W---Dunadan. Unique.  -1 to his CP.  -1 to influence attempts against factions. Home site: Minas Tirith.	-	-	Warrior	2.0	0.0	-	3.0	8.0	-	Minas Tirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Lord Denethor	MEWR	mewr_lorddenethor.jpg	Character	Avatar	Dunadan-lord Lord	Atani-lord	-	[Avatar GI: 20; Mind: 7; DI: 3; P/B: 4/7]---W/Sa/D---Dunadan-lord. Unique. Leader. Manifestation of Denethor II. +2 DI against Dunedain. +3 DI against characters with a home site in Gondor. +2 DI against the Tower Guard of Minas Tirith. May tap to use a Palantir he bears. When Lord Denethor is at Minas Tirith you may keep one more card than normal in hand.  tap: take Sworn to teh Lord or Tower of Guard from your discard pile to your hand.Home site: Minas Tirith.	-	-	Warrior Sage Diplomat	7.0	-	20.0	4.0	7.0	-	Minas Tirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Lothiriel	MEWR	mewr_lothiriel.jpg	Character	character	Dunadan	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 1/7]---Sa---Dunadan. Unique. +2 DI against Eomer and Imrahil II.      tap: give +2 to a CP made by a Man or Dunadan character in her company.Home site: Dol Amroth.	-	-	Sage	2.0	0.0	-	1.0	7.0	-	Dol Amroth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Prince Imrahil	MEWR	mewr_princeimrahil.jpg	Character	Avatar	Dunadan-lord Lord	Atani-lord	-	[Avatar GI: 19; Mind: 7; DI: 3; P/B: 5/9]---W/R/D---Dunadan-lord. Unique. Leader. Manifestation of Imrahil. +5 DI against Dunadan characters with a home site in Anfalas, Belfalas or Lamedon. +2 DI against the Knights of Dol Amroth faction. When Prince Imrahil is at Dol Amroth you may keep one more card than normal in your hand. If an opponent has a company without an agent at a non-Haven site in Belfalas during any organization phase, you may look at his hand. tap: take Tower of Amroth from your discard pile to your hand.Home site: Dol Amroth.	-	-	Warrior Ranger Diplomat	7.0	-	19.0	5.0	9.0	-	Dol Amroth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Thorongil	MEWR	mewr_thorongil.jpg	Character	Agent	Dunadan	Hero	-	[MP: 3*; Mind: 8; DI: 2; P/B: 5/9]---W/Sc/R---Dunadan. Unique. Grey Agent. Manifestation of Aragorn II.  +2 prowess against Ringwraiths.     Agent only: May move to a Darkhaven [K]. May take another agent action (not counting against the hazard limit) each time he takes an agent action.    tap: for an extra strike.     tap: attack a company moving to his site during the movement/hazard phase.    Home site: Edoras, Minas Tirith.	3	-	Warrior Scout Ranger	8.0	2.0	-	5.0	9.0	-	Edoras, Minas Tirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Will Whitfoot	MEWR	mewr_willwhitfoot.jpg	Character	character	Hobbit	Hero	-	"Unique. Unless he is among the starting characters he may only be brought into play at his home site. He is considered a sage for the purpose of playing rituals.  If Mathom Lore is played on him, he may use any item as though he were a sage.  ""Will Whitfoot, the Mayor, and the fatiest Hobbit in the Westfarthing, had been buried in chalk, and came out like a floured dumpling.""-LotRVI  Home Site: Michel Delving"	1	-	Diplomat	4.0	0.0	-	0.0	8.0	-1.0	Michel Delving	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
