Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Milo Burrows	MERS	mers_miloburrows.jpg	Character	character	Hobbit	Hero	-	[MP: 1; Mind: 4; DI: 0; P/B: 1/9]---Sc/R---Hobbit. Unique. Cannot be controlled by a Hobbit. Unless he is among the starting characters, he may only be brought into play at his home site. +1 to his corruption check.Home site: Brandy Hall.	1	-	Scout Ranger	4.0	0.0	-	1.0	9.0	-	Brandy Hall	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Nob	MERS	mers_nob.jpg	Character	character	Hobbit	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 0/8]---Sc---Hobbit. Unique. May not be among the starting characters, and may only be brought into play at his home site. Nob costs no direct influence to control, if controlled by Barliman Butterbur or a Hobbit.     tap: tap a face-up agent at his current or new site.Home site: Bree.	-	-	Scout	2.0	0.0	-	0.0	8.0	-	Bree	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Sancho Proudfoot	MERS	mers_sanchoproudfoot.jpg	Character	character	Hobbit	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 0/8]---Sc---Hobbit. Unique. +1 to his burglary attempts. Unless he is among the starting characters, he may only be brought into play at his home site. +1 to his corruption checks.Home site: Sackville.	-	-	Scout	2.0	0.0	-	0.0	8.0	-	Sackville	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Taurnil	MERS	mers_taurnil.jpg	Character	character	Nando Elf	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 3/8]---W/R---Elf. Unique. Nando.   -2 prowess against Animals and Awakened Plants. +2 prowess against Orcs.Home site: Lorien, any Refuge in Mirkwood.	1	-	Warrior Ranger	3.0	1.0	-	3.0	8.0	-	Lorien, any Refuge in Mirkwood	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ted Sandyman	MERS	mers_tedsandyman.jpg	Character	Agent	Hobbit	Minion	-	[MP: 1; Mind: 3; DI: 1; P/B: 1/9]---Sc/D---Hobbit. Unique. Agent. May not be among the starting characters, unless you start the game at Bag End. May only be brought into play at his home site (regardless of any other card effects).      Unless you are a Dwarf-lord or Gandalf, Mischief in a Mean Way is playable on his current site in The Shire (as if on a Border-hold [B]). Home site: Bag End, Bywater.	1	-	Scout Diplomat	3.0	1.0	-	1.0	9.0	-	Bag End, Bywater	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Black Riders	MERS	mers_blackriders.jpg	Hazard	Permanent-event	-	Neutral	-	Playable if Doors of Night is in play. Nazgul creatures may be played against hero companies keyed to Border-land [b], Wilderness [w], and Shadow-land [s]; and to non-Haven, non-Free-hold sites in these regions. Any Nazgul attacking in this fashion is detainment, unless a character in the defending company bears a ring special item. Cannot be duplicated.	-	nazgul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Capricious Spirit	MERS	mers_capriciousspirit.jpg	Hazard	Short-event	-	Neutral	-	Playable on a Maia, Demon or Spawn ally. The controlling character must make an influence check against the ally. Make a roll and add the controlling character's unused EI; if the result is lower than the ally's mind +6, discard the ally.	-	ally	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Courtesy Lessened of Late	MERS	mers_courtesylessenedoflate.jpg	Hazard	Short-event	-	Neutral	-	Playable only on-guard. Reveal this card to target and cancel any card or effect that would allow opponent to bring in a character with the company during the site phase. 	-	site	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Foe Beyond Any of You	MERS	mers_foebeyondanyofyou.jpg	Hazard	Short-event	-	Neutral	-	Playable on an attack with a prowess of 11 or more created by a unique hazard (does not count against the hazard limit).   All strikes must be assigned to a leader or to the character in the company with the highest prowess against the attack (defender's choice), regardless of his status or any card effect. Each excess strike gives a -1 modification to his prowess; Pierced by Many Wounds cannot be played on the attack.	-	attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Glutan	MERS	mers_glutan.jpg	Hazard	Creature	Animals Wolf Wolves	Neutral	-	[MP: 1; P/B: 7/0] Animal. Wolf. 2 strikes. May be played keyed to any Wilderness [w] region in Eriador or Wilderland (by name or type), and to Ruins & Lairs [R] in these regions. If there is wounded character in the company, Glutan cannot be cancelled by a skill card. Cannot be duplicated in a movement/hazard phase	1	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	1.0
His Own Master	MERS	mers_hisownmaster.jpg	Hazard	Permanent-event	-	Neutral	-	Allies may not be played at tapped sites. Unless Doors of Night is in play, no ally may be played at a hero Haven [H]. Discard this card when any play deck is exhausted. Cannot be duplicated.	-	ally	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
It is My Own	MERS	mers_itismyown.jpg	Hazard	Long-event	-	Neutral	-	Items cannot be stored. Any character attempting to store a non-item card must make a CP modified by -2.	-	ring	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Leaving Middle-Earth	MERS	mers_leavingmiddleearth.jpg	Hazard	Permanent-event	-	Neutral	-	Whenever a tapped Elf-hold would be returned to the location deck, place it in the controlling player's  mp instead. A player with 2 or more copies of such a site in his mp may not play any other copy of it. Cannot be duplicated.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Long Wailing Cry	MERS	mers_longwailingcry.jpg	Hazard	Short-event	-	Neutral	-	Playable on a hero company facing a Nazgul attack. Tap all characters in the company with mind lower than the number of Nazgul permanent-events in play.	-	nazgul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Lure of the Rings	MERS	mers_lureoftherings.jpg	Hazard	Permanent-event	-	Neutral	-	All hero characters bearing a gold ring item must make a CP at the beginning of their movement/ hazard phase. This CP is modified by -6 when moving through Gorgoroth or a Dark-Domain [d]. Cannot be duplicated.	-	ring	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Memories Grown Dim	MERS	mers_memoriesgrowndim.jpg	Hazard	Permanent-event	-	Neutral	-	Any company that wants to play a Lost Knowledge card, or fullfil the requirement of Lost Knowledge being discarded, must tap a sage in addition to any other requirements. Discard this card when any play deck is exhausted. Cannot be duplicated.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
No Memory of This Place	MERS	mers_nomemoryofthisplace.jpg	Hazard	Permanent-event	-	Neutral	-	Cancels the effects of Secret Entrance and Forewarned is Forearmed. Additionally, each company intending to move with Under-deeps movement must make an Under-deeps movement roll for each adjacent site during their organization phase. This is done before a new site is selected and instead of during the movement/hazard phase. Such a roll is modified by -3, but if successful the site may be taken from location deck or discard pile. Discard this card when any play deck is exhausted. Cannot be duplicated.	-	roadblock	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
No Place for a Pony	MERS	mers_noplaceforapony.jpg	Hazard	Short-event	-	Neutral	-	Playable on a horse ally. Discard the ally if its company enters a Shadow-hold [S] or Dark-hold [D] this turn, or is moving to an Under-deeps site or Dungeon. Cannot be revealed as an on-guard card.	-	ally	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Rangers at Sarn Ford	MERS	mers_rangersatsarnford.jpg	Hazard	Creature	Dunadan Dunedain	Neutral	-	[MP: 2*; P/B: 10/8] Dunedain. 5 strikes. Only playable against minion companies. May be played keyed to Arthedain, Cardolan or The Shire. +2 prowess against Ringwraiths.	2	-	-	-	-	-	10.0	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.0	0.0	-	1.0
Seized Upon the Bearer	MERS	mers_seizeduponthebearer.jpg	Hazard	Permanent-event	-	Neutral	-	Attacking hazard creatures may assign strikes to any hero ringbearer before other strikes are assigned. If such a strike is assigned to the bearer of The One Ring, the strike receives +2 prowess.	-	attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Speak, Friend, and Enter!	MERS	mers_speakfriendandenter.jpg	Hazard	Permanent-event	-	Neutral	-	Playable on a Shadow-hold [S], Dark-hold [D], or hidden site against a moving hero company. Cannot be revealed as an on-guard card. Unless the company contains a sage or a Hobbit, or you discard a Knowledge or Information card from hand or the company, the company must do nothing during the site phase. Additionally, cancels the effects of Crack in the Wall and Secret Entrance.	-	roadblock	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
